doc_name,categoria,batch,distanza
pants-on-fire_doc10,correct,2,0.6
pants-on-fire_doc10,wrong,3,2.1
pants-on-fire_doc10,wrong,4,3
pants-on-fire_doc4,correct,1,0.8
pants-on-fire_doc4,wrong,2,1.5
pants-on-fire_doc4,wrong,4,2.7
pants-on-fire_doc9,correct,2,0.6
pants-on-fire_doc9,wrong,3,2.3
pants-on-fire_doc9,wrong,4,2.9
false_doc1,correct,2,0.8
false_doc1,wrong,1,1.8
false_doc1,wrong,4,2.4
false_doc3,correct,1,0.8
false_doc3,wrong,4,2.8
false_doc5,correct,1,0.5
false_doc5,wrong,4,2.1
half-true_doc4,correct,3,0.9
half-true_doc4,correct,4,0.8
half-true_doc4,wrong,2,1.5
half-true_doc9,correct,3,1
half-true_doc9,wrong,1,1.9
true_doc4,correct,2,0.8
true_doc4,wrong,3,2.1
