categoria,,statement,data,claimant,fre
correct,false ,Says the Wisconsin Republican Party tweeted Happy International Womens Day You ladies should get paid less and not be able to make health care decisions,2012,Graeme Zielinski,46.1
,false ,Scott Walkers income tax plan is a tax hike It increases taxes for nearly 80 of the people in the state,2014,Mary Burke,75.54
,true ,According to Wikipedia there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth,2011,Alan Grayson,62.01
,true ,The first professional baseball team was from an Ohio city,2010,Yvette Mcgee Brown,78.25
wrong,false ,Residential property taxes in Providence are up nearly 27 percent under Mayor Taveras,2014,Gina Raimondo,32.9
,false ,Says I was the first governor in America to endorse Mitt Romney,2012,Chris Christie,67.76
,true ,The tax penalty that the government imposes if you dont buy health insurance is lower than it would have cost to buy insurance,2013,Ron Desantis,65.05
,true ,Wisconsin is 1 in the Midwest for personal income growth over the year,2014,Scott Walker,66.74
,true ,Ilana Shafran Mandels stake in Forest City Enterprises constitutes significantly less than 1 percent of the companys shares and any implication of a conflict of interest is legally incorrect,2011,Josh Mandel,25.12
,,,,,Media: 57.72
